po_id,project_id,task_id,vendor,discipline,po_value,committed_cost,need_by_date,expected_delivery_date,delivery_status
P1001-PO001,P1001,P1001-T01,Apex Mechanical,Civil,237846.27,210424.37,2025-01-17,2025-02-02,Late Risk
P1001-PO002,P1001,P1001-T02,Sonoran Controls,Civil,158474.46,140993.22,2025-02-20,2025-02-25,Late Risk
P1001-PO003,P1001,P1001-T03,Mesa Steel,Civil,266771.07,288762.43,2025-03-12,2025-03-17,Late Risk
P1001-PO006,P1001,P1001-T06,Mesa Steel,Structural,125740.1,99400.12,2025-01-25,2025-02-08,Late Risk
P1001-PO007,P1001,P1001-T07,Copperline Electric,Structural,128325.04,109381.1,2025-02-19,2025-02-26,Late Risk
P1001-PO008,P1001,P1001-T08,Mesa Steel,Structural,127380.09,112269.33,2025-03-21,2025-03-25,Late Risk
P1001-PO011,P1001,P1001-T11,Valley Civil,Mechanical,162071.06,125727.07,2025-01-16,2025-01-29,Late Risk
P1001-PO012,P1001,P1001-T12,Copperline Electric,Mechanical,123918.86,132640.91,2025-02-13,2025-02-19,Late Risk
P1001-PO013,P1001,P1001-T13,Mesa Steel,Mechanical,176572.39,167529.73,2025-03-18,2025-03-22,Late Risk
P1001-PO016,P1001,P1001-T16,Copperline Electric,Electrical,154473.6,123717.16,2025-01-18,2025-01-30,Late Risk
P1001-PO017,P1001,P1001-T17,Apex Mechanical,Electrical,137032.76,149737.72,2025-02-13,2025-02-16,Late Risk
P1001-PO018,P1001,P1001-T18,Desert Safety Supply,Electrical,204030.46,221238.42,2025-03-18,2025-03-23,Late Risk
P1001-PO021,P1001,P1001-T21,Mesa Steel,Instrumentation,135163.01,146577.56,2025-01-25,2025-01-22,On Track
P1001-PO022,P1001,P1001-T22,Apex Mechanical,Instrumentation,248245.34,262872.49,2025-02-14,2025-02-26,Late Risk
P1001-PO023,P1001,P1001-T23,Valley Civil,Instrumentation,235659.8,235430.8,2025-03-19,2025-03-21,Late Risk
P1001-PO026,P1001,P1001-T26,Mesa Steel,Commissioning,251657.57,200422.02,2025-01-25,2025-01-25,On Track
P1001-PO027,P1001,P1001-T27,Desert Safety Supply,Commissioning,154153.99,142969.18,2025-02-19,2025-02-23,Late Risk
P1001-PO028,P1001,P1001-T28,Copperline Electric,Commissioning,275896.2,279700.27,2025-03-11,2025-03-20,Late Risk
P1002-PO001,P1002,P1002-T01,Sonoran Controls,Civil,421751.38,369689.94,2025-02-13,2025-02-19,Late Risk
P1002-PO002,P1002,P1002-T02,Desert Safety Supply,Civil,171271.76,143624.51,2025-03-17,2025-03-14,On Track
P1002-PO003,P1002,P1002-T03,Apex Mechanical,Civil,384628.42,339343.77,2025-04-10,2025-04-26,Late Risk
P1002-PO006,P1002,P1002-T06,Apex Mechanical,Structural,149792.97,146259.4,2025-02-19,2025-02-20,Late Risk
P1002-PO007,P1002,P1002-T07,Desert Safety Supply,Structural,188393.02,145489.39,2025-03-12,2025-03-12,On Track
P1002-PO008,P1002,P1002-T08,Copperline Electric,Structural,353870.07,378503.75,2025-04-15,2025-04-21,Late Risk
P1002-PO011,P1002,P1002-T11,Desert Safety Supply,Mechanical,249516.47,235679.7,2025-02-18,2025-02-27,Late Risk
P1002-PO012,P1002,P1002-T12,Mesa Steel,Mechanical,273205.05,207895.28,2025-03-16,2025-03-20,Late Risk
P1002-PO013,P1002,P1002-T13,Desert Safety Supply,Mechanical,133347.88,108895,2025-04-12,2025-04-10,On Track
P1002-PO016,P1002,P1002-T16,Copperline Electric,Electrical,177729.02,134184.7,2025-02-12,2025-02-11,On Track
P1002-PO017,P1002,P1002-T17,Mesa Steel,Electrical,129692.87,130763.22,2025-03-22,2025-03-20,On Track
P1002-PO018,P1002,P1002-T18,Sonoran Controls,Electrical,201772.01,186077.57,2025-04-15,2025-04-16,Late Risk
P1002-PO021,P1002,P1002-T21,Mesa Steel,Instrumentation,256393.13,248549.29,2025-02-16,2025-02-28,Late Risk
P1002-PO022,P1002,P1002-T22,Copperline Electric,Instrumentation,175185.96,161838.71,2025-03-14,2025-03-28,Late Risk
P1002-PO023,P1002,P1002-T23,Sonoran Controls,Instrumentation,211995.83,196003.7,2025-04-13,2025-04-26,Late Risk
P1002-PO026,P1002,P1002-T26,Mesa Steel,Commissioning,133350.09,144336.76,2025-02-12,2025-02-16,Late Risk
P1002-PO027,P1002,P1002-T27,Copperline Electric,Commissioning,434775.34,426814.31,2025-03-11,2025-03-27,Late Risk
P1002-PO028,P1002,P1002-T28,Desert Safety Supply,Commissioning,279008.84,300059.82,2025-04-11,2025-04-21,Late Risk
P1003-PO001,P1003,P1003-T01,Sonoran Controls,Civil,96728.86,94193.97,2025-02-02,2025-02-13,Late Risk
P1003-PO002,P1003,P1003-T02,Mesa Steel,Civil,52738.52,52513.57,2025-03-08,2025-03-18,Late Risk
P1003-PO003,P1003,P1003-T03,Apex Mechanical,Civil,108354.03,114703.66,2025-03-31,2025-04-02,Late Risk
P1003-PO006,P1003,P1003-T06,Apex Mechanical,Structural,66203.17,65732.74,2025-02-01,2025-02-09,Late Risk
P1003-PO007,P1003,P1003-T07,Valley Civil,Structural,131804.66,120379.94,2025-03-01,2025-02-27,On Track
P1003-PO008,P1003,P1003-T08,Mesa Steel,Structural,137473.65,134861.68,2025-03-30,2025-04-11,Late Risk
P1003-PO011,P1003,P1003-T11,Desert Safety Supply,Mechanical,115487.21,109720.14,2025-01-28,2025-02-05,Late Risk
P1003-PO012,P1003,P1003-T12,Mesa Steel,Mechanical,114930.16,101932.17,2025-02-28,2025-03-06,Late Risk
P1003-PO013,P1003,P1003-T13,Copperline Electric,Mechanical,116194.13,101383.8,2025-03-28,2025-03-25,On Track
P1003-PO016,P1003,P1003-T16,Copperline Electric,Electrical,79878.88,66752.77,2025-02-02,2025-02-08,Late Risk
P1003-PO017,P1003,P1003-T17,Sonoran Controls,Electrical,84109.49,80394.25,2025-03-04,2025-03-12,Late Risk
P1003-PO018,P1003,P1003-T18,Sonoran Controls,Electrical,136886.5,107001.02,2025-03-26,2025-03-24,On Track
P1003-PO021,P1003,P1003-T21,Desert Safety Supply,Instrumentation,150839.66,158904.13,2025-01-31,2025-02-03,Late Risk
P1003-PO022,P1003,P1003-T22,Mesa Steel,Instrumentation,76117.23,69170.01,2025-03-05,2025-03-02,On Track
P1003-PO023,P1003,P1003-T23,Sonoran Controls,Instrumentation,74328.95,77530.66,2025-04-05,2025-04-07,Late Risk
P1003-PO026,P1003,P1003-T26,Mesa Steel,Commissioning,112480.92,94845.18,2025-02-02,2025-01-31,On Track
P1003-PO027,P1003,P1003-T27,Sonoran Controls,Commissioning,80775.52,87378.48,2025-03-02,2025-02-28,On Track
P1003-PO028,P1003,P1003-T28,Desert Safety Supply,Commissioning,71210.13,65067.7,2025-04-05,2025-04-04,On Track
P1004-PO001,P1004,P1004-T01,Valley Civil,Civil,118730.52,89095.14,2025-03-22,2025-04-06,Late Risk
P1004-PO002,P1004,P1004-T02,Valley Civil,Civil,112833.41,85333.04,2025-04-16,2025-04-24,Late Risk
P1004-PO003,P1004,P1004-T03,Desert Safety Supply,Civil,105254.02,90099.32,2025-05-11,2025-05-12,Late Risk
P1004-PO006,P1004,P1004-T06,Desert Safety Supply,Structural,77603.66,64301.38,2025-03-11,2025-03-12,Late Risk
P1004-PO007,P1004,P1004-T07,Desert Safety Supply,Structural,97838.61,85897.89,2025-04-13,2025-04-18,Late Risk
P1004-PO008,P1004,P1004-T08,Desert Safety Supply,Structural,148922.13,113658.17,2025-05-10,2025-05-11,Late Risk
P1004-PO011,P1004,P1004-T11,Desert Safety Supply,Mechanical,52445.21,44681.6,2025-03-16,2025-03-21,Late Risk
P1004-PO012,P1004,P1004-T12,Desert Safety Supply,Mechanical,65609.84,69136.9,2025-04-17,2025-04-19,Late Risk
P1004-PO013,P1004,P1004-T13,Valley Civil,Mechanical,114341.59,91261.36,2025-05-14,2025-05-23,Late Risk
P1004-PO016,P1004,P1004-T16,Mesa Steel,Electrical,205759.39,164812.21,2025-03-22,2025-04-02,Late Risk
P1004-PO017,P1004,P1004-T17,Copperline Electric,Electrical,69330.68,62298,2025-04-14,2025-04-27,Late Risk
P1004-PO018,P1004,P1004-T18,Sonoran Controls,Electrical,108592.38,101891.26,2025-05-17,2025-05-18,Late Risk
P1004-PO021,P1004,P1004-T21,Copperline Electric,Instrumentation,78167.49,84079.24,2025-03-15,2025-03-22,Late Risk
P1004-PO022,P1004,P1004-T22,Apex Mechanical,Instrumentation,113969.44,115295.59,2025-04-18,2025-04-18,On Track
P1004-PO023,P1004,P1004-T23,Copperline Electric,Instrumentation,110444.45,97833.5,2025-05-09,2025-05-17,Late Risk
P1004-PO026,P1004,P1004-T26,Copperline Electric,Commissioning,72820.21,64707.53,2025-03-14,2025-03-29,Late Risk
P1004-PO027,P1004,P1004-T27,Mesa Steel,Commissioning,84477.34,72187.21,2025-04-13,2025-04-17,Late Risk
P1004-PO028,P1004,P1004-T28,Desert Safety Supply,Commissioning,159677.53,172890.93,2025-05-08,2025-05-15,Late Risk